"PC","Variance_Explained"
"PC1",0.773443274217499
"PC2",0.106096632980348
"PC3",0.0352085437760605
"PC4",0.0291144210300452
"PC5",0.0175693355525409
"PC6",0.0117972073906786
"PC7",0.00828459264869768
"PC8",0.00686259585265791
"PC9",0.00485911288565605
"PC10",0.00375057805496664
"PC11",0.00301370561084922
"PC12",1.26549308442868e-31
