Sample,Original_Reads,longrna_alignment_pct,pirna_alignment_pct,rrna_alignment_pct,smallrna_alignment_pct,trna_alignment_pct,unmapped_pct
SRR1103937,10577564,1.138,0.907,21.2,42.951,33.143,0.661
SRR1103939,7545982,0.614,0.537,17.739,56.047,24.615,0.448
