Sample,Original_Reads,longrna_alignment_reads,pirna_alignment_reads,rrna_alignment_reads,smallrna_alignment_reads,trna_alignment_reads,unmapped_reads
SRR1103937,10577564,120404.06,95950.79,2242393.74,4543142.59,3505703,69969.8200000003
SRR1103939,7545982,46321.1,40516.21,1338561.98,4229308.07,1857423,33851.639999999665
